Week,faiz oranlari
03-01-16,12
10-01-16,10
17-01-16,10
24-01-16,12
31-01-16,9
07-02-16,12
14-02-16,12
21-02-16,12
28-02-16,12
06-03-16,13
13-03-16,11
20-03-16,12
27-03-16,11
03-04-16,13
10-04-16,13
17-04-16,24
24-04-16,22
01-05-16,18
08-05-16,15
15-05-16,12
22-05-16,15
29-05-16,15
05-06-16,11
12-06-16,11
19-06-16,19
26-06-16,17
03-07-16,11
10-07-16,15
17-07-16,15
24-07-16,20
31-07-16,18
07-08-16,54
14-08-16,34
21-08-16,27
28-08-16,23
04-09-16,19
11-09-16,12
18-09-16,22
25-09-16,16
02-10-16,18
09-10-16,17
16-10-16,12
23-10-16,14
30-10-16,23
06-11-16,21
13-11-16,14
20-11-16,15
27-11-16,14
04-12-16,13
11-12-16,15
18-12-16,12
25-12-16,10
01-01-17,11
08-01-17,13
15-01-17,12
22-01-17,13
29-01-17,16
05-02-17,15
12-02-17,15
19-02-17,13
26-02-17,11
05-03-17,9
12-03-17,12
19-03-17,10
26-03-17,10
02-04-17,10
09-04-17,11
16-04-17,8
23-04-17,12
30-04-17,11
07-05-17,10
14-05-17,9
21-05-17,11
28-05-17,10
04-06-17,10
11-06-17,9
18-06-17,9
25-06-17,10
02-07-17,12
09-07-17,10
16-07-17,13
23-07-17,11
30-07-17,13
06-08-17,13
13-08-17,12
20-08-17,11
27-08-17,7
03-09-17,10
10-09-17,12
17-09-17,11
24-09-17,11
01-10-17,12
08-10-17,11
15-10-17,11
22-10-17,12
29-10-17,10
05-11-17,13
12-11-17,11
19-11-17,14
26-11-17,10
03-12-17,12
10-12-17,13
17-12-17,13
24-12-17,11
31-12-17,15
07-01-18,13
14-01-18,14
21-01-18,12
28-01-18,13
04-02-18,14
11-02-18,12
18-02-18,15
25-02-18,14
04-03-18,14
11-03-18,14
18-03-18,14
25-03-18,15
01-04-18,13
08-04-18,17
15-04-18,17
22-04-18,16
29-04-18,13
06-05-18,39
13-05-18,28
20-05-18,32
27-05-18,21
03-06-18,24
10-06-18,22
17-06-18,18
24-06-18,27
01-07-18,36
08-07-18,31
15-07-18,34
22-07-18,33
29-07-18,31
05-08-18,44
12-08-18,48
19-08-18,25
26-08-18,66
02-09-18,57
09-09-18,90
16-09-18,64
23-09-18,50
30-09-18,45
07-10-18,46
14-10-18,46
21-10-18,34
28-10-18,38
04-11-18,42
11-11-18,40
18-11-18,44
25-11-18,36
02-12-18,33
09-12-18,42
16-12-18,48
23-12-18,29
30-12-18,30
06-01-19,35
13-01-19,33
20-01-19,33
27-01-19,31
03-02-19,39
10-02-19,34
17-02-19,47
24-02-19,61
03-03-19,51
10-03-19,40
17-03-19,40
24-03-19,34
31-03-19,23
07-04-19,25
14-04-19,27
21-04-19,27
28-04-19,30
05-05-19,28
12-05-19,29
19-05-19,22
26-05-19,19
02-06-19,19
09-06-19,23
16-06-19,26
23-06-19,24
30-06-19,32
07-07-19,30
14-07-19,28
21-07-19,71
28-07-19,100
04-08-19,44
11-08-19,29
18-08-19,38
25-08-19,31
01-09-19,37
08-09-19,61
15-09-19,57
22-09-19,45
29-09-19,44
06-10-19,35
13-10-19,26
20-10-19,28
27-10-19,26
03-11-19,31
10-11-19,30
17-11-19,28
24-11-19,23
01-12-19,25
08-12-19,29
15-12-19,31
22-12-19,30
29-12-19,33
