Week,tuketici kredisi: (Turkey)
03-01-16,23
10-01-16,17
17-01-16,23
24-01-16,25
31-01-16,14
07-02-16,8
14-02-16,18
21-02-16,23
28-02-16,8
06-03-16,23
13-03-16,17
20-03-16,22
27-03-16,21
03-04-16,24
10-04-16,13
17-04-16,30
24-04-16,11
01-05-16,22
08-05-16,20
15-05-16,18
22-05-16,24
29-05-16,25
05-06-16,23
12-06-16,18
19-06-16,17
26-06-16,11
03-07-16,15
10-07-16,23
17-07-16,9
24-07-16,18
31-07-16,12
07-08-16,46
14-08-16,48
21-08-16,31
28-08-16,33
04-09-16,31
11-09-16,24
18-09-16,63
25-09-16,52
02-10-16,48
09-10-16,37
16-10-16,35
23-10-16,29
30-10-16,29
06-11-16,30
13-11-16,30
20-11-16,25
27-11-16,21
04-12-16,19
11-12-16,27
18-12-16,24
25-12-16,17
01-01-17,17
08-01-17,17
15-01-17,19
22-01-17,18
29-01-17,20
05-02-17,23
12-02-17,15
19-02-17,20
26-02-17,15
05-03-17,24
12-03-17,13
19-03-17,23
26-03-17,20
02-04-17,14
09-04-17,18
16-04-17,17
23-04-17,29
30-04-17,13
07-05-17,22
14-05-17,10
21-05-17,24
28-05-17,14
04-06-17,13
11-06-17,21
18-06-17,29
25-06-17,15
02-07-17,14
09-07-17,13
16-07-17,13
23-07-17,21
30-07-17,22
06-08-17,11
13-08-17,15
20-08-17,26
27-08-17,12
03-09-17,20
10-09-17,27
17-09-17,10
24-09-17,19
01-10-17,9
08-10-17,17
15-10-17,14
22-10-17,16
29-10-17,17
05-11-17,20
12-11-17,27
19-11-17,18
26-11-17,21
03-12-17,17
10-12-17,15
17-12-17,22
24-12-17,19
31-12-17,16
07-01-18,17
14-01-18,17
21-01-18,19
28-01-18,18
04-02-18,9
11-02-18,21
18-02-18,17
25-02-18,16
04-03-18,19
11-03-18,15
18-03-18,20
25-03-18,12
01-04-18,23
08-04-18,18
15-04-18,15
22-04-18,20
29-04-18,23
06-05-18,22
13-05-18,27
20-05-18,29
27-05-18,30
03-06-18,28
10-06-18,14
17-06-18,24
24-06-18,21
01-07-18,39
08-07-18,33
15-07-18,29
22-07-18,30
29-07-18,24
05-08-18,25
12-08-18,31
19-08-18,17
26-08-18,40
02-09-18,40
09-09-18,59
16-09-18,30
23-09-18,18
30-09-18,30
07-10-18,42
14-10-18,21
21-10-18,23
28-10-18,19
04-11-18,27
11-11-18,26
18-11-18,24
25-11-18,22
02-12-18,27
09-12-18,23
16-12-18,25
23-12-18,18
30-12-18,22
06-01-19,24
13-01-19,26
20-01-19,41
27-01-19,39
03-02-19,37
10-02-19,45
17-02-19,52
24-02-19,85
03-03-19,74
10-03-19,61
17-03-19,53
24-03-19,33
31-03-19,22
07-04-19,29
14-04-19,25
21-04-19,17
28-04-19,27
05-05-19,31
12-05-19,25
19-05-19,25
26-05-19,18
02-06-19,13
09-06-19,25
16-06-19,21
23-06-19,33
30-06-19,26
07-07-19,35
14-07-19,33
21-07-19,45
28-07-19,100
04-08-19,80
11-08-19,39
18-08-19,51
25-08-19,33
01-09-19,49
08-09-19,80
15-09-19,86
22-09-19,58
29-09-19,60
06-10-19,52
13-10-19,51
20-10-19,66
27-10-19,63
03-11-19,59
10-11-19,46
17-11-19,46
24-11-19,35
01-12-19,36
08-12-19,52
15-12-19,45
22-12-19,55
29-12-19,51
